property_id,property_type,square_footage,bedrooms,bathrooms,year_built,lot_size,neighborhood,garage_spaces,pool,fireplace,view,renovation_year,renovation_cost,distance_to_school,distance_to_hospital,distance_to_grocery_store,crime_rate,median_income,property_tax,hoa_fee,heating_type,cooling_type,foundation_type,roof_material,energy_efficiency_rating,listing_date,selling_price,selling_date,profit_margin
1,house,870,6,4,1907,7.5,suburban,0,true,true,ocean,1962,31045,9.4,0.9,9.5,0.4,120909,3681,138,gas,none,slab,metal,3,4/4/2020,720317,3/25/2022,2200
2,house,3980,3,1,2013,7.9,urban,2,false,false,city,1906,36298,4.5,1.9,1.8,4.5,90276,1719,344,oil,none,basement,tile,10,9/19/2022,462518,10/21/2020,1100
3,condo,4038,1,3,1936,9.5,suburban,0,true,true,ocean,1990,42417,5.9,6.2,3.6,9.8,97814,3003,347,oil,central,basement,tile,5,3/24/2021,405087,12/13/2020,800
4,apartment,4208,4,4,2004,2.5,suburban,1,false,true,mountain,1941,4900,0.5,10.0,1.1,0.9,97033,1688,244,electric,none,basement,tile,6,11/29/2022,456279,8/18/2020,9200
5,apartment,2556,2,2,1945,6.1,rural,1,true,true,city,1942,34299,7.8,1.1,9.0,4.1,38154,3003,362,oil,central,basement,asphalt,9,6/14/2021,286338,10/7/2021,700
6,condo,3149,2,3,2002,4.2,rural,3,true,true,ocean,1942,10310,9.2,5.5,7.3,4.4,105822,1893,213,oil,window,slab,asphalt,10,4/29/2022,949079,4/23/2022,9100
7,apartment,3881,2,2,1933,1.2,suburban,1,true,false,city,1966,24160,0.8,2.1,0.8,7.3,27002,4475,159,gas,central,crawl space,asphalt,1,4/7/2020,234312,5/23/2021,800
8,townhouse,1240,6,1,2003,7.5,rural,3,false,true,ocean,1948,12823,9.4,6.3,2.9,4.0,125069,3176,230,oil,central,slab,tile,6,4/8/2022,827802,2/16/2020,6300
9,apartment,2967,3,2,1997,3.0,urban,0,false,false,city,1961,13808,3.8,3.7,4.9,3.3,141727,2951,154,oil,none,basement,metal,10,11/23/2022,859730,7/19/2021,6100
10,house,2360,4,1,1942,3.9,suburban,3,false,false,city,1900,45174,0.5,8.0,8.0,3.0,123179,3080,292,oil,central,slab,asphalt,7,11/13/2021,434939,7/26/2022,800
11,townhouse,3828,4,3,1995,9.5,rural,1,true,true,mountain,2019,4098,2.3,4.4,2.9,7.8,42605,3496,339,oil,none,basement,asphalt,10,6/30/2020,947112,8/15/2022,23000
12,house,1277,6,3,1932,3.4,rural,1,true,true,ocean,1967,47497,6.9,8.3,9.9,7.4,23736,4583,380,oil,window,crawl space,metal,8,7/3/2020,823634,10/23/2022,1600
13,house,2445,3,3,1965,6.3,rural,0,false,true,ocean,1990,43398,9.8,4.7,9.3,7.7,112540,4374,454,electric,window,crawl space,tile,8,5/12/2021,497755,6/21/2021,1000
14,townhouse,1445,5,4,1936,8.6,urban,0,false,false,mountain,1951,12352,2.0,4.6,4.0,2.4,25214,1811,386,electric,none,slab,asphalt,5,6/29/2021,117797,9/25/2022,800
15,townhouse,4905,4,3,1975,4.7,rural,3,false,true,mountain,1924,45793,9.2,5.4,3.6,4.8,87052,1477,322,oil,none,basement,tile,6,10/3/2020,415680,4/28/2021,800
16,condo,2389,6,2,1978,5.8,urban,3,true,true,mountain,1962,32665,5.0,7.9,0.4,3.1,48582,1853,79,electric,central,crawl space,asphalt,6,4/25/2022,458334,1/17/2022,1300
17,house,1587,2,4,1992,0.3,rural,1,false,true,ocean,1954,39658,2.8,2.1,2.2,9.9,144588,2093,475,oil,window,crawl space,metal,4,6/12/2021,989391,6/26/2022,2300
18,house,4156,2,2,1972,7.3,suburban,1,true,true,city,1920,12871,9.6,2.4,7.1,3.9,109947,4101,346,gas,central,slab,asphalt,10,11/25/2022,761882,10/3/2021,5800
19,house,3697,2,4,1940,5.6,suburban,3,true,false,city,1914,17581,9.1,2.7,1.2,7.4,54369,1535,184,oil,central,crawl space,metal,10,4/1/2022,667955,10/13/2022,3600
20,townhouse,3569,2,3,2005,8.8,rural,0,false,true,mountain,1945,25802,4.5,5.9,8.5,1.4,71577,2576,176,gas,none,slab,tile,9,11/29/2020,924749,3/16/2022,3400
21,house,1953,6,1,1992,7.2,urban,2,false,false,ocean,1923,25343,4.5,4.1,4.2,8.5,147955,4817,306,electric,none,crawl space,tile,3,4/28/2022,683136,12/24/2020,2500
22,house,4517,2,3,1942,5.7,urban,1,false,false,mountain,1981,19640,6.8,6.9,3.0,7.4,54912,2171,205,gas,none,slab,metal,5,1/9/2022,747721,12/13/2021,3700
23,condo,2617,4,1,1947,6.6,rural,2,true,false,city,2008,44048,8.0,7.7,2.4,4.1,31884,2124,96,electric,central,slab,asphalt,6,6/29/2021,748040,9/28/2020,1500
24,apartment,1661,4,2,1972,9.2,urban,2,false,false,ocean,1925,48895,1.8,8.3,8.5,5.2,27330,2037,59,electric,none,slab,metal,5,1/14/2022,815460,8/4/2020,1500
25,condo,4310,5,4,1902,3.0,urban,0,true,false,ocean,1982,4238,6.5,9.0,5.7,6.9,70503,4744,422,electric,central,crawl space,tile,9,11/28/2021,487578,4/25/2022,11400
26,townhouse,987,6,4,1904,6.6,urban,0,true,false,ocean,1970,41458,8.9,6.1,2.4,5.1,25775,3913,305,electric,window,slab,metal,7,9/21/2021,484545,5/18/2021,1000
27,apartment,4079,3,1,1909,2.6,urban,2,true,false,ocean,1981,46759,4.9,8.7,0.7,3.5,141187,4963,330,electric,central,slab,asphalt,1,6/28/2021,884973,4/13/2020,1700
28,townhouse,1968,3,2,1964,0.2,rural,0,true,true,mountain,1984,37141,8.1,6.9,9.2,4.4,64535,2115,103,gas,central,crawl space,metal,8,10/4/2021,217717,3/2/2021,400
29,apartment,4598,4,3,1924,0.7,suburban,3,true,false,ocean,1961,26131,7.9,1.8,3.5,3.7,110553,3710,162,electric,window,basement,asphalt,10,2/22/2021,847205,6/27/2020,3100
30,house,647,6,2,1985,0.6,urban,0,true,true,mountain,1922,38269,3.0,7.7,5.2,1.9,140777,2268,277,electric,central,slab,tile,5,4/12/2022,214400,2/25/2020,400
31,apartment,2660,1,4,1955,8.4,rural,2,true,false,mountain,1974,2386,1.8,8.2,3.9,3.9,55615,4617,60,oil,window,slab,tile,2,12/2/2022,750369,10/15/2022,31300
32,townhouse,2722,4,1,1904,5.0,urban,1,false,false,ocean,1922,12945,5.3,8.0,2.7,9.9,74681,686,234,gas,window,basement,metal,10,2/26/2021,981634,6/24/2022,7400
33,house,3744,1,3,1997,0.3,suburban,3,true,true,ocean,1932,17743,3.0,6.2,1.4,9.7,52542,4973,111,gas,central,slab,metal,9,7/10/2021,620385,10/9/2021,3300
34,apartment,1614,3,2,1911,8.7,suburban,1,true,true,mountain,1968,7219,0.5,6.2,7.7,2.9,30054,4889,500,electric,window,slab,metal,8,11/27/2022,411631,3/30/2020,5600
35,house,2417,2,2,1929,2.9,urban,1,true,true,mountain,1971,9668,4.5,7.8,6.8,4.4,74875,583,424,oil,central,slab,tile,8,11/2/2022,550607,12/28/2020,5500
36,house,976,1,1,1991,2.2,suburban,1,false,false,mountain,1924,31605,3.9,2.1,1.3,3.8,109131,4533,79,oil,central,slab,asphalt,3,2/1/2020,318665,7/6/2020,900
37,condo,1213,3,3,2011,7.3,urban,3,false,true,mountain,1971,32968,7.5,8.8,9.8,6.4,123476,4802,337,electric,central,slab,asphalt,7,9/30/2020,567331,9/9/2022,1600
